	P03_delta11	P06_delta11	P09_delta11	P12_delta11	P14_delta11	P17_delta11	P19_delta11	P22_delta11	P25_delta11	P28_delta11	P31_delta11	P01_mock	P04_mock	P07_mock	P10_mock	P15_mock	P20_mock	P23_mock	P26_mock	P29_mock
AFAP1L2	44	9	24	0	0	8	58	0	58	0	5	18	7	1	0	1	0	95	0	4
AFDN	184	148	79	7	34	75	179	14	89	15	69	61	79	15	17	30	19	210	19	39
AFDN-DT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF1	402	266	102	5	0	299	587	0	146	0	99	129	184	18	26	93	12	346	0	53
AFF2	26	6	5	0	0	8	19	0	15	0	4	5	3	1	2	0	0	19	0	0
AFF2-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFF3	364	149	162	50	45	444	1191	2	278	0	153	138	74	42	31	115	18	434	0	68
AFF4	564	411	206	19	87	293	480	233	92	199	186	446	361	97	14	142	125	379	255	147
AFG1L	133	64	42	0	26	62	29	86	58	40	33	81	73	40	0	47	46	73	55	36
AFG3L1P	157	80	50	1	4	82	317	4	163	0	56	50	55	21	10	20	8	216	0	19
AFG3L2	216	108	85	13	29	101	252	7	526	6	34	45	86	16	13	26	14	392	11	24
AFG3L2P1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFMID	143	47	49	0	6	20	44	4	210	0	10	42	47	5	0	0	3	113	0	0
AFP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AFTPH	745	490	262	19	73	453	906	90	419	56	220	361	358	71	39	120	42	565	73	92
AGA	127	76	18	0	0	12	71	0	83	0	0	26	47	6	0	7	2	75	0	0
AGAP1	72	46	46	0	11	36	16	32	24	58	6	31	35	21	0	47	16	71	99	21
AGAP1-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP10P	3	2	5	0	0	6	6	0	0	0	4	1	1	0	0	0	0	3	0	2
AGAP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGAP12P	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0
AGAP13P	1	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	0	1	0	0
AGAP14P	3	0	1	0	4	0	6	0	0	0	0	3	0	0	1	0	0	3	0	0
AGAP2	338	100	125	16	7	103	295	1	636	3	52	97	86	30	5	33	8	479	2	28
AGAP2-AS1	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	1	0	0
AGAP3	607	237	277	27	113	256	145	300	391	208	104	300	296	213	19	228	186	461	323	143
AGAP4	45	10	35	5	0	61	90	0	64	0	19	13	15	4	0	15	0	71	0	0
AGAP5	3	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0
AGAP6	9	4	4	0	2	11	11	0	6	0	0	6	3	3	5	0	0	11	0	0
AGAP7P	12	10	3	0	0	0	3	3	30	0	0	3	5	0	0	0	0	14	0	0
AGAP9	37	15	6	0	8	44	80	0	33	0	16	8	7	0	6	4	9	48	0	0
AGBL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL2	8	3	3	0	5	12	1	0	13	0	12	3	3	0	0	9	0	13	0	0
AGBL3	18	13	6	0	0	11	12	0	6	0	4	5	9	2	0	5	0	19	0	0
AGBL4	1	1	0	0	0	0	7	0	3	1	0	0	1	0	0	0	0	0	0	0
AGBL4-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL5	431	187	142	16	30	124	224	188	316	102	61	175	193	101	7	91	211	267	106	96
AGBL5-AS1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL5-IT1	1	0	0	0	0	0	0	0	10	0	0	1	0	2	0	4	0	3	0	0
AGER	53	29	30	6	4	40	69	0	155	0	14	18	24	5	0	5	2	98	0	5
AGFG1	954	557	301	45	93	350	539	273	365	364	169	470	477	215	18	132	244	613	468	148
AGFG2	325	131	122	0	0	32	128	1	551	1	14	69	99	21	0	11	3	298	0	5
AGGF1	92	54	33	0	0	38	91	0	83	0	11	21	48	5	0	18	3	109	0	6
AGGF1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AGGF1P3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
AGGF1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGGF1P9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGK	73	43	33	0	5	17	49	0	101	1	6	20	21	6	0	6	2	169	0	9
AGKP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGL	105	69	37	0	12	58	134	0	80	0	37	43	57	8	0	15	4	123	0	23
AGMAT	32	17	14	4	0	11	32	0	120	0	5	20	9	6	2	8	0	98	0	0
AGMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGO1	309	181	131	4	37	246	365	75	269	72	83	106	126	51	30	102	61	440	96	70
AGO2	361	256	161	24	85	426	604	147	374	161	164	160	214	59	0	165	116	541	270	103
AGO3	110	86	46	5	17	57	185	10	129	9	49	46	42	13	8	22	22	113	18	24
AGO4	110	55	48	7	17	98	244	3	41	0	38	51	34	10	8	43	0	172	0	13
AGPAT1	18	12	11	0	0	2	2	0	65	0	0	9	14	1	0	4	0	59	0	0
AGPAT2	182	40	82	7	5	54	208	0	782	0	15	50	36	24	4	9	9	270	0	0
AGPAT3	749	338	280	6	18	157	438	7	1154	0	82	192	242	40	12	20	9	888	0	40
AGPAT4	50	11	23	0	0	27	72	0	76	0	15	16	10	3	0	12	1	66	0	3
AGPAT5	68	22	22	0	0	56	79	14	36	13	20	26	47	19	0	4	0	84	26	14
AGPAT5P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGPS	245	120	82	21	5	74	185	25	233	46	28	98	59	26	11	19	12	282	80	21
AGR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	172	37	37	0	4	45	162	1	206	0	14	69	25	18	0	11	1	255	0	11
AGRP	3	0	1	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0
AGT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTPBP1	157	78	27	0	4	34	131	1	92	0	34	26	46	5	0	5	5	160	1	10
AGTR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGTRAP	74	12	34	0	0	6	63	0	276	0	18	23	13	15	0	23	0	116	0	0
AGXT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGXT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCTF1	224	169	75	11	46	178	410	6	215	1	105	81	109	16	6	16	8	373	3	36
AHCTF1P1	12	0	0	0	0	7	7	0	7	0	5	2	4	0	0	0	0	4	0	2
AHCY	729	301	288	33	22	147	507	32	2072	51	87	161	320	96	19	66	32	836	95	34
AHCYL1	4037	2370	1845	120	623	1843	1317	1762	823	2624	614	1961	2024	1263	143	1619	1805	2775	3545	1023
AHCYL2	72	32	35	3	4	39	61	3	48	1	19	31	30	6	1	13	6	107	7	10
AHCYP2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYP7	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHCYP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHDC1	563	324	207	27	75	244	398	234	197	155	131	265	294	140	29	172	200	344	173	133
AHI1	83	11	15	4	4	22	80	1	46	0	17	27	10	6	0	8	0	107	0	3
AHNAK	1960	1441	654	68	387	1856	3396	465	733	336	844	888	911	255	138	762	459	2226	406	545
AHNAK2	39	8	0	0	2	24	57	1	11	0	0	8	7	3	0	4	0	24	0	0
AHR	52	12	22	0	4	41	28	0	60	0	8	47	20	5	0	0	0	170	0	0
AHRR	9	0	2	0	0	1	0	0	4	0	0	3	3	2	0	0	0	12	0	0
AHSA1	2508	1279	1171	83	242	901	1129	1085	2830	760	391	1186	1296	1017	64	725	574	1823	983	433
AHSA2P	536	271	161	35	28	267	862	16	506	5	103	171	249	37	16	92	24	539	11	51
AHSG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AICDA	129	32	116	0	30	45	146	3	341	0	8	35	33	5	7	0	2	64	0	3
AIDA	470	211	218	14	30	255	452	69	179	177	69	194	209	133	20	153	69	416	241	68
AIDAP1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0
AIDAP2	23	19	5	4	3	12	4	8	4	11	7	14	15	18	1	12	5	6	22	1
AIDAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIF1	24	3	5	0	0	7	9	0	356	0	0	10	3	3	7	0	0	74	0	0
AIF1L	21	10	11	0	9	9	8	4	17	6	1	17	17	12	0	8	18	10	17	0
AIFM1	608	302	242	1	54	171	335	172	1151	163	85	251	276	175	17	124	108	757	224	94
AIFM1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIFM2	175	73	72	14	5	28	83	0	524	0	17	25	49	5	0	9	2	165	0	0
AIFM3	4	0	6	0	2	0	9	0	28	0	5	3	3	0	0	0	0	9	0	0
AIG1	60	33	16	0	0	7	31	0	117	0	4	13	17	5	0	2	3	59	0	3
AIG1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIM2	442	122	155	11	13	23	69	0	471	0	43	152	105	31	5	14	15	367	0	29
AIMP1	305	170	125	17	12	142	361	1	733	0	54	92	100	29	4	28	10	397	0	29
AIMP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMP1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIMP2	87	36	39	0	0	27	81	4	302	0	16	8	18	4	7	15	1	109	0	0
AIP	868	335	380	11	31	195	648	26	2710	16	108	242	244	112	22	78	29	1008	39	41
AIPL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AIRE	2	0	0	0	0	3	4	0	0	0	0	3	2	0	0	0	0	6	0	0
AIRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ003147.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ003147.2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ003147.3	3	0	2	0	0	2	14	0	0	0	0	0	1	0	0	0	0	2	0	0
AJ006995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ009632.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ009632.2	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0
AJ011931.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AJ011931.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AJ011932.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239318.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239321.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239322.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239322.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ239328.1	1	0	0	0	5	0	0	0	6	0	0	1	1	0	0	8	0	2	0	0
AJ271736.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	6	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	2	0	3
AJM1	68	8	25	0	4	1	13	0	107	0	7	21	8	5	0	3	5	68	0	0
AJUBA	24	8	13	0	0	5	19	15	11	15	11	16	7	10	0	8	17	31	25	7
AK1	28	5	5	0	0	13	11	0	23	0	5	8	3	0	0	1	3	25	0	0
AK2	928	383	348	29	37	251	881	2	2808	0	185	215	285	56	26	75	17	1378	0	41
AK2P2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AK3	199	123	65	5	0	50	167	2	188	0	14	73	93	12	0	17	2	229	0	13
AK3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK3P3	2	1	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0
AK3P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK3P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK4	180	79	20	5	0	0	11	0	120	0	4	58	50	7	2	0	5	122	0	4
AK4P1	4	1	0	0	0	0	5	0	4	0	0	1	0	0	6	0	0	1	0	0
AK4P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK4P3	3	0	1	0	0	3	6	0	4	0	0	2	3	0	1	4	0	2	0	2
AK4P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK4P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK4P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
AK5	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
AK6	49	32	9	0	0	8	34	0	128	3	0	23	22	9	0	6	0	66	4	0
AK6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK6P2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AK7	3	1	1	0	0	0	10	0	10	0	0	0	1	0	0	0	0	4	0	0
AK8	2	0	1	0	0	3	0	0	18	0	0	0	0	1	0	0	0	5	0	0
AK9	23	12	9	0	11	33	109	0	21	0	14	7	15	1	0	24	0	47	0	6
AKAIN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP1	158	74	93	0	28	86	225	8	293	3	48	50	60	17	2	31	6	279	1	47
AKAP10	320	146	105	0	43	164	220	157	117	117	38	119	132	48	9	80	84	261	175	84
AKAP11	275	225	99	23	25	278	425	29	77	6	93	173	127	15	8	78	14	364	17	46
AKAP12	3	3	1	0	0	14	9	0	8	0	2	2	1	0	0	0	0	7	0	0
AKAP13	1297	645	476	38	100	740	1585	13	564	0	327	394	445	128	62	215	84	1500	4	141
AKAP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP17A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP17BP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP3	2	6	8	0	0	9	22	0	11	0	0	0	5	1	0	0	0	11	0	0
AKAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP5	96	89	15	0	9	14	29	0	37	0	13	42	40	2	0	3	3	36	0	1
AKAP6	8	0	12	0	0	7	42	1	3	1	10	4	1	0	0	6	0	5	4	6
AKAP7	12	12	3	0	0	2	42	0	17	0	0	15	4	0	0	7	2	24	0	0
AKAP8	386	194	152	19	24	152	429	28	594	21	85	94	155	29	16	52	19	470	19	29
AKAP8L	740	311	314	33	56	340	615	329	831	126	142	313	302	199	27	149	178	711	260	136
AKAP8P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKAP9	198	154	65	0	25	335	585	5	107	3	158	101	132	10	38	73	10	303	1	62
AKIP1	79	23	27	0	0	5	55	0	386	0	2	23	10	5	6	0	0	160	0	1
AKIRIN1	1039	523	330	13	106	466	620	222	512	343	173	467	500	200	36	215	153	815	485	108
AKIRIN1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKIRIN1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKIRIN2	825	402	349	25	112	361	627	324	459	205	212	295	347	216	38	210	157	589	281	150
AKIRIN2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKNA	2990	1058	1282	100	126	1130	2968	25	4156	0	493	890	869	245	138	266	91	4098	2	206
AKNAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1A1	910	282	300	16	11	174	457	2	2358	0	82	165	283	62	16	25	6	881	0	33
AKR1B1	636	229	243	26	28	163	560	2	1880	1	70	139	197	47	11	57	10	804	0	20
AKR1B10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B10P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B10P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B15	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AKR1B1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B1P8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0
AKR1C2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0	0
AKR1C4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C5P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C6P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C7P	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR1C8P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AKR1D1	3	3	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
AKR1D1P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AKR1E2	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	8	0	0
AKR7A2	290	98	106	6	5	35	198	1	684	0	8	54	82	16	6	15	7	297	0	3
AKR7A2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKR7A3	3	5	0	0	0	0	4	0	0	0	4	2	3	1	0	0	0	1	0	0
AKR7L	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2
AKT1	806	289	361	16	45	284	664	84	911	93	133	223	233	121	9	123	50	1054	96	71
AKT1S1	172	77	48	17	11	39	118	0	409	0	9	41	56	7	6	10	0	194	0	4
AKT2	1252	437	451	44	34	427	1223	8	2228	5	173	324	343	106	32	87	39	1482	1	60
AKT3	31	9	15	0	6	18	35	3	8	8	25	7	7	2	0	4	0	44	4	4
AKT3-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AKTIP	226	109	99	7	36	82	111	83	174	69	48	133	117	90	8	70	45	197	134	49
AL008582.1	4	1	2	0	0	1	5	0	4	0	0	1	0	0	0	0	0	2	0	0
AL008626.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008627.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
AL008628.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008629.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008633.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008635.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0
AL008636.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AL008638.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008638.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008638.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008638.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008638.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008638.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
AL008707.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008718.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008718.2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008718.3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008719.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008720.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008720.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008721.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008721.2	14	2	1	0	0	0	12	0	5	0	0	4	0	2	0	0	0	1	0	0
AL008723.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008723.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008723.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008726.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008727.1	0	1	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	1	0	2
AL008729.1	13	4	0	0	5	8	31	0	6	0	0	2	3	0	0	6	3	9	0	0
AL008729.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008730.1	0	0	0	0	0	0	3	0	0	0	5	0	1	0	0	0	0	0	0	0
AL008733.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL008987.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009028.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009031.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009048.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009050.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009172.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009174.1	10	5	3	1	1	2	4	1	26	0	0	2	0	0	0	0	1	4	0	4
AL009176.1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009177.1	4	3	0	0	0	7	3	0	0	0	0	1	0	0	0	0	0	4	0	0
AL009178.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009178.2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AL009178.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009179.1	17	3	7	0	0	2	0	0	102	0	9	5	3	1	7	0	0	99	0	0
AL009179.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL009181.1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4
AL009183.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020989.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020991.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020993.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020994.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020994.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020994.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020996.1	1	1	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AL020996.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020996.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020997.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0
AL020997.2	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	0
AL020997.3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AL020997.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020997.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL020998.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021026.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021068.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021153.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021154.1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
